"com.egoclean.pregnancy"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.electricsheep.asi"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.electricsheep.edj"	[[10, 2, 2, 1, 0, 1, -1, -0.6157427128339317]]
"com.elky.likekids.esfree"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.ellismarkov.bballads"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.emicloter.trafficmasterlite"	[[21, 3, 3, 1, 0, 1, 1, 0.5443880711505885]]
"com.endomondo.android"	[[146, 30, 26, 1, 1, 5, 2, 0.8535704301391411]]
"com.enterpriseleaders.mmba"	[[135, 21, 21, 4, 0, 3, 0, -0.788633633393382]]
"com.eonline.g4"	[[36, 6, 6, 2, 4, 2, 2, 0.6022549099157571]]
"com.epicurious"	[[111, 16, 16, 4, 0, 2, -1, 0.9285470428674324], [90, 16, 16, 3, 0, 2, -1, 0.8585730784793777]]
"com.ergonlabs.SabbathSchool"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.esocialllc.vel"	[[66, 13, 12, 1, 0, 1, 0, 0.7393887688157721]]
"com.espn.espnfantasyfootball"	[[23, 4, 4, 1, 0, 1, -1, 0.6066541597698213], [26, 5, 5, 0, 0, 1, 0, -0.5966935645678909]]
"com.espn.score_center"	[[112, 20, 19, 2, 0, 0, -2, 0.697073580956455]]
"com.etrade.mobilepro.activity"	[[111, 23, 19, 2, 0, 1, -2, 0.9288575193033527]]
"com.evernote"	[[57, 12, 12, 2, 0, 1, -1, 0.886821611372489]]
"com.everydayhealth.android.wtebaby"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.evonit.mymusicon"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.examples.raOne"	[[13, 3, 3, 2, 0, 3, 0, -0.6647286821705427]]
"com.ezjoynetwork.jewelsmaniac"	[[73, 13, 12, 2, 0, 1, -1, 0.556668932411145]]
"com.ezone.Diversion"	[[39, 8, 8, 0, 0, 1, 1, 0.6031049976389805]]
"com.fa53"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.fbchat"	[[104, 20, 18, 5, 0, 5, -1, -0.736693890409329]]
"com.fede.launcher"	[[151, 30, 29, 3, 0, 4, 0, 0.9743745279714683]]
"com.feelingtouch.dragon2"	[[9, 1, 1, 1, 0, 0, 0, 0.5]]
"com.feelingtouch.throwbombs"	[[90, 16, 14, 1, 0, 2, 1, 0.8724792057493956]]
"com.fgol.sharkfree2"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.firecrackersw.hangmanhelper"	[[2, 0, 0, 0, 0, 0, 0, 0.5]]
"com.fishmy.android"	[[11, 2, 2, 1, 0, 0, 0, 0.5060896287777378]]
"com.fitnesskeeper.runkeeper.pro"	[[105, 20, 18, 0, 0, 2, -1, 0.7074488580612583]]
"com.flikie.wallpapers.hd"	[[108, 15, 15, 3, 0, 0, -1, 0.8355727038796195], [17, 3, 3, 0, 0, 1, 1, 0.5601013758146273]]
