hasPrivacy,revlength,revSent,hasDeveloperWebsite,hasDeveloperEmail,installRange,avgRating,price
1,1064.0,-6.0,1,1,3000000.0,4.075,0.0
0,859.0,-4.0,1,1,3000000.0,4.808,0.0
0,785.0,6.0,1,1,7500000.0,4.289,0.0
0,1484.0,-1.0,1,1,3000000.0,4.807,0.0
1,1501.0,10.0,1,1,3000000.0,4.45,0.0
1,770.0,-3.0,1,0,300000.0,3.976,0.0
0,1642.0,-15.0,1,1,750000.0,3.844,0.0
1,1941.0,4.0,1,1,750000.0,4.592,0.0
0,989.0,-6.0,1,1,300000.0,3.167,0.0
1,721.0,0.0,1,1,3000000.0,3.998,0.0
0,691.0,0.0,0,1,750000.0,3.359,0.0
1,673.0,-6.0,1,1,750000000.0,3.727,0.0
1,1294.0,-2.0,1,1,300000000.0,4.601,0.0
1,1219.0,-10.0,1,1,30000000.0,3.726,0.0
1,1177.0,-5.0,1,1,300000000.0,3.968,0.0
1,1222.0,-4.0,1,1,300000000.0,4.389,0.0
1,1431.0,-5.0,1,0,30000000.0,4.73,0.0
1,1567.0,-1.0,1,1,30000000.0,3.435,0.0
0,873.0,-3.0,1,1,30000000.0,4.286,0.0
1,1353.0,-5.0,1,1,30000000.0,4.225,0.0
1,1390.0,-4.0,1,1,30000000.0,4.347,0.0
1,1112.0,-1.0,1,0,30000000.0,4.152,0.0
1,1553.0,-4.0,1,1,7500000.0,4.237,0.0
1,1380.0,-1.0,1,1,7500000.0,4.33,0.0
1,1156.0,-4.0,1,1,7500000.0,4.197,0.0
1,942.0,5.0,1,1,3000000.0,4.337,0.0
1,1066.0,-2.0,1,1,7500000.0,4.238,0.0
1,912.0,-8.0,1,1,7500000.0,4.135,0.0
1,1099.0,-3.0,1,1,7500000.0,4.214,0.0
1,672.0,-2.0,1,1,30000000.0,4.061,0.0
1,1376.0,-11.0,1,1,3000000.0,4.289,0.0
1,220.0,-1.0,1,1,3000000.0,4.356,0.0
1,795.0,3.0,1,1,7500000.0,4.527,0.0
1,602.0,2.0,1,1,30000000.0,4.533,0.0
0,708.0,-5.0,0,1,3000000.0,3.724,0.0
1,1552.0,-6.0,1,1,30000000.0,4.213,0.0
1,1500.0,-8.0,1,0,300000000.0,4.138,0.0
1,1204.0,-1.0,1,1,30000000.0,4.098,0.0
1,1220.0,-3.0,1,1,7500000.0,4.386,0.0
0,972.0,-5.0,1,1,3000000.0,3.806,0.0
1,968.0,-2.0,1,1,30000000.0,4.196,0.0
1,1534.0,-2.0,1,1,3000000.0,4.247,0.0
1,714.0,0.0,1,1,3000000.0,4.413,0.0
0,732.0,-5.0,1,1,7500000.0,4.193,0.0
0,1102.0,-5.0,0,1,750000.0,4.209,0.0
1,2239.0,-6.0,1,1,3000000.0,4.104,0.0
1,1939.0,-13.0,1,1,300000.0,4.147,0.0
1,389.0,2.0,1,1,3000000.0,4.405,0.0
1,598.0,-5.0,1,1,3000000.0,4.136,0.0
1,1904.0,-17.0,1,1,3000000.0,2.946,0.0
1,1029.0,-1.0,1,1,3000000.0,3.978,0.0
1,1342.0,1.0,1,1,30000000.0,4.576,0.0
1,1354.0,-1.0,1,1,3000000.0,4.548,0.0
1,1177.0,-2.0,1,1,3000000.0,3.099,0.0
0,952.0,-7.0,0,1,300000.0,4.025,0.0
0,669.0,0.0,1,1,3000000.0,4.324,0.0
1,1348.0,-9.0,1,1,7500000.0,4.335,0.0
1,525.0,5.0,1,1,7500000.0,4.381,0.0
0,970.0,-1.0,1,1,300000.0,3.594,0.0
1,384.0,3.0,1,1,3000000.0,4.403,0.0
1,1179.0,-5.0,1,1,3000000.0,4.125,0.0
1,1593.0,-9.0,1,1,3000000.0,3.088,0.0
1,1085.0,2.0,1,1,3000000.0,4.534,0.0
0,992.0,-4.0,1,1,3000000.0,4.602,0.0
1,714.0,-2.0,1,1,7500000.0,3.977,0.0
1,433.0,1.0,1,1,3000000.0,4.464,0.0
0,2242.0,-5.0,1,0,7500000.0,4.443,0.0
0,1176.0,-2.0,1,0,3000000.0,4.391,0.0
1,1554.0,-7.0,1,1,3000000.0,4.163,0.0
0,990.0,7.0,1,1,300000.0,4.676,0.0
1,1713.0,-3.0,1,1,7500000.0,4.397,0.0
0,2087.0,-17.0,1,1,30000.0,3.225,0.0
0,306.0,-1.0,1,1,3000.0,1.0,0.0
0,588.0,-6.0,1,1,30000.0,3.149,0.0
0,843.0,-9.0,1,1,30000.0,1.951,0.0
1,1281.0,-7.0,1,1,750000.0,2.062,0.0
0,1002.0,-4.0,1,1,300.0,2.091,0.9
1,1492.0,1.0,1,0,3000000.0,4.554,0.0
1,1253.0,-4.0,1,1,30000000.0,4.522,0.0
0,1210.0,-3.0,1,1,750000.0,4.054,0.0
0,855.0,-9.0,1,1,750000.0,3.551,0.0
1,955.0,-4.0,1,1,7500000.0,4.256,0.0
1,219.0,1.0,1,1,3000000.0,4.117,0.0
0,2388.0,13.0,1,1,30000.0,4.314,0.0
1,1997.0,-10.0,1,1,3000000.0,3.987,0.0
0,212.0,1.0,1,1,300000.0,4.111,0.0
0,969.0,-6.0,1,1,300000.0,2.949,0.0
0,1054.0,-1.0,0,1,300000.0,3.586,0.0
1,775.0,1.0,1,1,30000.0,4.047,0.0
0,1414.0,-9.0,0,1,300000.0,3.586,0.0
1,516.0,-3.0,0,1,3000000.0,4.175,0.0
1,934.0,4.0,1,1,30000000.0,4.424,0.0
1,979.0,-9.0,1,1,300000000.0,4.535,0.0
1,559.0,1.0,1,1,300000000.0,4.554,0.0
